date,id,username,polarity,text
2016-09-17 15:59:58,777175272420409352,F9Inter,,FINALES #BPL Hull City 1-4 Arsenal Leicester 3-0 Burnley Manchester City 4-0 Bournemouth WBA 4-2 West Ham @F9Premier
2016-09-17 15:59:48,777175227683987457,paddypower,,Today's Premier League results so far: Hull 1 - 4 Arsenal Leicester 3 -0 Burnley Man City 4 - 0 Bournemouth West Brom 4- 2 West Ham
2016-09-17 15:59:42,777175202681745408,footballdazzle,,The FT whistle is gone and here are the scores: Hull City 1-4 Arsenal Man City 4-0 Bournemouth Leicester 3-0 Burnley West Brom 4-2 West Ham
2016-09-17 15:59:34,777175171270635520,UgoUganda,,Goals galore in the #PremierLeague FT Scores HullCity 1-4 Arsenal WestBrom 4-2 WestHam LeicesterCity 3-0 Burnley ManCity 4-0 Bournemouth
2016-09-17 15:59:33,777175167760039937,JnatasJardim1,,Terminou Leicester City 3x0 Burnley! 90+1' Hull City 1x4 Arsenal Xhaka Terminou Hull City 1x4 Arsenal! Terminou West Brom 4x2 West Ham!
2016-09-17 15:59:21,777175115532341248,fifafoot,,"#Últimas #fotos Tom Heaton of Burnley makes a save from Riyad Mahrez of Leicester City: LEICESTER, ENGLAND - ... http://fifa.to/2cFeQZf"
2016-09-17 15:59:18,777175104581140480,Daniel_Smith98,,"Thank you Arsenal, Leicester, Man City, Hudderfield and fucking Brighton, you've won me £40 which really means only one thing"
2016-09-17 15:59:16,777175096939151360,Yoursportsnews1,,Leicester City 1-0 Burnley at halftime. (ESPN) Leicester City #YSNpic.twitter.com/PNu5JqbKWe
2016-09-17 15:59:13,777175081684467712,footballpodcast,,Premier League results: Hull 1-4 Arsenal Leicester 3-0 Burnley Man City 4-0 Bournemouth West Brom 4-2 West Ham #EPL #BPL #RESULTS
2016-09-17 15:59:07,777175058976481280,transferfan,,Slimani stars in deserved Leicester win: Leicester City's club-record signing Islam Slimani marks his Premier Leag… http://ift.tt/2d51051
2016-09-17 15:59:06,777175053616107521,voicefmradio,,Full Time Scores: Hull 1- 4 Arsenal Leicester 3 - 0 Burnley Man City 4- 0 @afcbournemouth West Brom 4-2 West Ham
2016-09-17 15:58:48,777174976290062340,dmuleicester,,Great to see our 'Dare to be Fearless' message pitchside during Leicester City's 3-0 win over Burnley #lcfc #LeiBurpic.twitter.com/OwRVQekigD
2016-09-17 15:58:37,777174931394048000,Abggaram,,Premier League FT scores: Hull 1-4 Arsenal Man City 4-0 Bournemouth Leicester 3-0 Burnley West Brom 4-2 West Ham
2016-09-17 15:58:35,777174921399107585,l5iza,,Drew Petrie likens North Melbourne to Leicester City ##DrewPetrie... http://goo.gl/fb/w0h9H7
2016-09-17 15:58:08,777174811504148481,Coral,,FTs: Hull 1-4 Arsenal Leicester 3-0 Burnley City 4-0 Bournemouth West Brom 4-2 West Ham
2016-09-17 15:58:06,777174801731448832,44stu,,Chelsea 1-2 Liverpool Leicester 3-0 Burnley Man City 4-0 Bournemouth West Brom Draw lets my 6 team acca down pic.twitter.com/mjetpcIZmG
2016-09-17 15:58:05,777174795171536896,JasonBourne1986,,Was today the real Leicester City? Thoughts on Slimani? Mahrez back to his best now? Thoughts on Albrighton too?
2016-09-17 15:58:00,777174777706508290,playthesix_epl,,Leicester City 3 Burnley 0: Slimani nets brace on Premier League bow. http://zpr.io/PnzJE pic.twitter.com/WQDEnW58Ng
2016-09-17 15:57:51,777174740012265472,fullgands,,Leicester City vs Burnley – Premier League Highlights http://www.fullgamesandshows.cf/club/leicester-city-vs-burnley-premier-league-highlights/ … via @fullgands
2016-09-17 15:57:49,777174729379684352,blackmans76,,Full Time Hull City 1-4 Arsenal West Brom 4-2 West Ham Man City 4-0 AFC Bournemouth Leicester City 3-0 Burnley
2016-09-17 15:57:47,777174722211672065,mysoccerhq,,FT: #EPL scores Hull City 1-4 Arsenal Manchester City 4-0 Bournemouth West Brom 4-2 West Ham Leicester 3-0 Burnley
2016-09-17 15:57:47,777174720118714368,BigEyeUG,,#BigEyeSport #FullTime Hull City 1-4 Arsenal Leicester City 3-0 Burnley Manchester City 4-0 AFC Bournemouth West... http://fb.me/17rKzQjKR
2016-09-17 15:57:42,777174701563076612,konnectii,,FT: Man City 4 - 0 AFC Bournemouth West Brom 4 - 2 West Ham Hull City 1 - 4 Arsenal Leicester 3 - 0 Burnley Super Saturday.
