date,id,username,polarity,text
2016-12-03 16:59:59,805094240577536001,BoyleSports,0,"10/1 for Leicester City to be relegated, @StanCollymore! You really think they could go down?https://twitter.com/StanCollymore/status/805085581562839040 …"
2016-12-03 16:59:58,805094235666051072,iam__one,0,Leicester City is going no where this time around https://twitter.com/premierleague/status/805093369177378817 …
2016-12-03 16:59:53,805094215071961088,Loidstwit,0,Another record breaking season for the foxes #leicestercity
2016-12-03 16:59:51,805094208918978560,joshboyles,-1,"The funniest part of this season has to be Leicester City losing to bottom of the table Sunderland, eh @Mahrez22 #COYS"
2016-12-03 16:59:37,8.05094E+17,albertozapatad,0,FT - Sunderland 2-1 Leicester City (ESPN) http://ift.tt/1NKZUVZ #Foxes
2016-12-03 16:59:27,805094106468937730,DavidWa50046817,0,"Leicester City deserved to win the PL last season,teams have worked out how to play against Leicester City tactically. #BTSportScore"
2016-12-03 16:59:07,805094022603833344,_Baine,-1,Kante saw Leicester city for the scam that they were and took to his heels
2016-12-03 16:59:07,805094020284370945,Northantsfans,0,Im.guessing Leicester City are not used to the different drug testing rules in the champions league
2016-12-03 16:59:03,805094007365890048,ThatConnArtist,0,Leicester City are two points off relegation. Wayne Lineker didn't die for this.
2016-12-03 16:59:00,805093991276482560,iKobby_,0,Leicester City took blue jersey to the football gods pretending to be Chelsea last season. Now they've been busted and reset to default https://twitter.com/Squawka/status/805093213757390848 …
2016-12-03 16:58:55,805093972528005120,infobola777,0,"England - Premier League December 3 FT Sunderland 2 - 1 Leicester City ( 64,Robert Huth,77,Jermain Defoe / Shinji... http://fb.me/ZOYEGSUv"
2016-12-03 16:58:43,805093923538567168,macksonwakama,0,@vardy7 and @Mahrez22 could have been challenging for the title with #Arsenal but are now fighting relegation with #leicestercity. Good!!
2016-12-03 16:58:33,805093879930298368,bharianmy,0,"#EPL: Tamat perlawanan, Crystal Palace 3 Southampton 0, Stoke City 2 Burnley 0, Sunderland 2 Leicester City 1,... http://fb.me/31SjIFxxj"
2016-12-03 16:58:33,805093878424539136,Goals_Premier,0,End of match! #Sunderland 2 #LeicesterCity 1
2016-12-03 16:58:32,805093877531164676,La5tadelfutbol,0,#PremierLeague Fecha 14 Sunderland 2 (Huth 63' a.g Defoe 76') 1 Leicester City (Okazaki 79')
2016-12-03 16:58:30,805093868354105344,SudamericaAFC,0,Resultados: City 1-3 Chelsea Tottenham 5-0 Swansea Stoke 2-0 Burnley Palace 3-0 Southampton West Brom 3-1 Watford Sunderland 2-1 Leicester
2016-12-03 16:58:29,805093862322700288,jockcas,-1,LEICESTER CITY !!! you've had your fun !! Now fook off to the championship
2016-12-03 16:58:23,805093836141817856,bwin,0,#PL FT: Crystal Palace 3-0 Southampton Stoke City 2-0 Burnley Sunderland 2-1 Leicester Tottenham 5-0 Swansea West Brom 3-1 Watford
2016-12-03 16:58:19,805093821214236672,IykeOkoye,-1,"Leicester City fc, one season wonder"
2016-12-03 16:58:13,805093793942925314,Greatwinger,0,Remember when Chelsea were the champions in bad form every media outlet had something to say but Leicester city being overlooked why? #CFC
2016-12-03 16:58:10,805093783188729857,SMLeicester,0,Result: Sunderland beat Leicester City to move off the bottom http://sm.mg/cbdrz83 #lcfc
2016-12-03 16:58:10,805093781708111872,SM_Sunderland,0,Result: Sunderland beat Leicester City to move off the bottom http://sm.mg/xvh94cx #safc
2016-12-03 16:58:05,805093763383169024,Sbn_ZA,0,#PL Results Crystal Palace 3-0 Southampton Stoke City 2-0 Burnley Sunderland 2-1 Leicester City Tottenham 5-0 Swansea West Brom 3-1 Watford
2016-12-03 16:58:04,805093756424876032,VFLCFC,-1,What on earth is wrong with Leicester City at the moment? Sunderland AFC 2 - 1 Leicester City (FT) – enttäuscht
2016-12-03 16:58:02,805093747977371648,ScorIQ,0,Premier League: Final Score Sunderland 2 - 1 Leicester City
2016-12-03 16:58:00,805093741153361920,ayoms10,0,"Results: Spurs 5-0 Swansea, Sunderland 2-1 Leicester, Crystal Palace 3-0 Southampton, West Brom 3-1 Watford, Stoke City 2-0 Burnley."
2016-12-03 16:57:59,805093737231745025,sirberry,0,Leicester City remain winless in their last 5 league games
2016-12-03 16:57:53,805093713991073792,ValdoKabby,-1,"Safe to say, Leicester City are FCUKED Of course they punched way above their weight last season but they've been so shambolic."
2016-12-03 16:57:53,805093710413303808,Sizdini,-1,"Another loss for Leicester City, it's bad this season"
2016-12-03 16:57:52,805093708811173889,fotomac,0,(MS): Sunderland-Leicester City 2-1 http://www.fotomac.com.tr/canli-skor/canli-mac?Id=2252318 …
2016-12-03 16:57:51,805093703840886784,SectaDeportivaa,0,Premier League Fecha 14 Crystal Palace 3-0 Southampton Stoke City 2-0 Burnley Sunderland 2-1 Leicester City
2016-12-03 16:57:48,805093692952428544,RealMikeDevine,-1,Leicester City going to win the champions league and get relegated lol
2016-12-03 16:57:44,805093674447212544,leighvl,0,Sunderland beat Leicester City. 2016
2016-12-03 16:57:37,805093644076281857,BettracksScores,0,Full Time. Sunderland 2 - 1 Leicester City
2016-12-03 16:57:34,805093633179402240,Youngsblessing,0,FT PALACE 3-0 SOUTHAMPTON WEST BROM 3-1 WATFORD SPURS 5-0 SWANSEA SUNDERLAND 2-1 LEICESTER STOKE CITY 2 - 0BURNLEY
2016-12-03 16:57:33,805093629140340736,jasonuk17,-1,Leicester City are in serious trouble. #LCFC #PL
2016-12-03 16:57:31,805093617576669184,SSFootball_,0,FULL-TIME: Final - Crystal Palace 3-0 Southampton Final - Stoke City 2-0 Burnley Final - Sunderland 2-1 Leicester... http://fb.me/1v3XbXnBm
2016-12-03 16:57:22,805093581073432576,FPL_MY,0,"FT. Sunderland 2 - 1 Leicester City Penjaring: Huth (Gol Sendiri), Defoe, Okazaki Assist: Kirchhoff, Watmore, Gray"
2016-12-03 16:57:20,805093574899535872,fdpradio,0,"#Inglaterra Sunderland 2 (Huth e.c., Defoe) - Leicester City 1 (Okazaki)"
2016-12-03 16:57:20,805093574681317376,LCFC_Indonesia,0,Full-time: Sunderland 2-1 Leicester City #SunLeipic.twitter.com/g5vZaR77nc
2016-12-03 16:57:20,805093571632267264,JohnBennettBBC,0,"3 defeats in their last 4 Premier League games, only 13pts & Man City up next... Things getting pretty concerning for Leicester City. #LCFC"
2016-12-03 16:57:18,805093565911146501,shawnexes,0,Vardy And Leicester city
2016-12-03 16:57:16,805093554875940867,BloomfieldHQ,-1,So @LCFC players can no more do d magic.... #leicestercity
2016-12-03 16:57:08,805093521812312068,ShaunKean,-1,Leicester City are wanks
2016-12-03 16:57:04,805093505831989248,canteiro_hugo,0,Sunderland 2-1 Leicester City em http://SofaScore.com #SofaScorepic.twitter.com/S9GRgl4Do8
2016-12-03 16:57:02,805093499599290368,ColinVassallo,0,How long till Ranieri is fired? :D #leicestercity
2016-12-03 16:57:02,805093497254584321,SMLeicester,0,FULL-TIME: Sunderland 2-1 Leicester City #safc #lcfc
2016-12-03 16:57:01,805093495870459905,SM_Sunderland,0,FULL-TIME: Sunderland 2-1 Leicester City #safc #lcfc
